# Time		Relative Magnitude
# (in days)	(m_V)
121.049506	9.6442
121.703411	9.5574
123.011220	9.3764
123.174696	9.3886
123.256434	9.3971
124.727719	9.5561
125.299885	9.6081
125.463361	9.6218
126.140675	9.6407
126.199004	9.6408
126.222413	9.6359
126.549365	9.5793
126.689432	9.5396
126.934647	9.4591
127.448484	9.3739
128.511079	9.4268
128.674555	9.4421
128.732884	9.4486
128.919769	9.4687
129.246721	9.5098
129.491936	9.5386
129.737150	9.5642
130.040693	9.5915
130.204169	9.6055
130.414463	9.6201
131.231844	9.6277
131.722272	9.5043
131.780601	9.4854
132.189292	9.3965
132.597982	9.3653
132.948343	9.3832
133.520510	9.4341
134.010938	9.4892
134.151005	9.5075
134.256152	9.519
134.477957	9.543
134.501366	9.5485
134.886648	9.5849
135.073533	9.6016
135.423894	9.6263
136.241275	9.614
136.568227	9.5314
136.731703	9.4794
137.385608	9.3686
137.467346	9.3645
138.833484	9.4759
138.996960	9.4974
139.674273	9.5728
139.919488	9.5947
140.491654	9.6367
140.655130	9.6445
141.145559	9.6216
141.822872	9.4384
142.535106	9.3674
142.616844	9.3707
143.048943	9.4044
144.496819	9.5615
144.765442	9.5876
146.668827	9.455
146.727156	9.4408
147.054108	9.3834
147.299322	9.3662
147.404469	9.3648
148.607131	9.4653
148.712278	9.4792
148.770607	9.4868
148.875754	9.5005
150.183563	9.6271
150.452187	9.6395
150.697401	9.6434
150.755730	9.6439
151.923472	9.3935
152.495638	9.3707
152.635705	9.3812
152.799181	9.3955
152.880920	9.4033
152.986067	9.4115
153.207872	9.4336
154.515681	9.5771
155.192994	9.6334
155.298141	9.6365
155.356470	9.6412
155.461617	9.6417
156.092113	9.5879
156.664279	9.4244
156.991232	9.3754
157.072970	9.3698
157.341593	9.367
157.995497	9.4191
158.404188	9.457
158.952945	9.5252
158.976354	9.5281
159.466783	9.5791
160.774592	9.6328
160.961477	9.5986
161.697119	9.4077
161.860595	9.3819
163.250142	9.4506
164.125852	9.5524
165.071789	9.6299
165.375332	9.6466
165.457070	9.6467
166.029237	9.5639
166.543074	9.4227
166.601403	9.4094
167.337046	9.375
167.500522	9.3875
167.909212	9.4254
168.236164	9.4557
168.890069	9.5348
169.217021	9.5678
169.730858	9.6149
170.793453	9.6067
171.120405	9.5129
172.673429	9.41
172.755167	9.4174
173.000381	9.4397
173.654285	9.5164
174.471666	9.5981
