# Wavelength	Extinction
# (nm)		(mag)
280.000000	1.015
280.500000	1.015
281.000000	1.015
281.500000	1.015
282.000000	0.9915
282.500000	0.9915
283.000000	0.9915
283.500000	0.9915
284.000000	0.9915
284.500000	0.9915
285.000000	0.9915
285.500000	0.9915
286.000000	0.9915
286.500000	0.9915
287.000000	0.9915
287.500000	0.9915
288.000000	0.9915
288.500000	0.9705
289.000000	0.9705
289.500000	0.9705
290.000000	0.9705
290.500000	0.9705
291.000000	0.9705
291.500000	0.9705
292.000000	0.9705
292.500000	0.9705
293.000000	0.9705
293.500000	0.9705
294.000000	0.9705
294.500000	0.9705
295.000000	0.9705
295.500000	0.9518
296.000000	0.9518
296.500000	0.9518
297.000000	0.9518
297.500000	0.9518
298.000000	0.9518
298.500000	0.9518
299.000000	0.9518
299.500000	0.9518
300.000000	0.9518
300.500000	0.9518
301.000000	0.9518
301.500000	0.9518
302.000000	0.9347
302.500000	0.9347
303.000000	0.9347
303.500000	0.9347
304.000000	0.9347
304.500000	0.9347
305.000000	0.9347
305.500000	0.9347
306.000000	0.9347
306.500000	0.9347
307.000000	0.9347
307.500000	0.9347
308.000000	0.9347
308.500000	0.9347
309.000000	0.9347
309.500000	0.9153
310.000000	0.9153
310.500000	0.9153
311.000000	0.9153
311.500000	0.9153
312.000000	0.9153
312.500000	0.9153
313.000000	0.9153
313.500000	0.9153
314.000000	0.9153
314.500000	0.9153
315.000000	0.9153
315.500000	0.9153
316.000000	0.9153
316.500000	0.896
317.000000	0.896
317.500000	0.896
318.000000	0.896
318.500000	0.896
319.000000	0.896
319.500000	0.896
320.000000	0.896
320.500000	0.896
321.000000	0.896
321.500000	0.896
322.000000	0.896
322.500000	0.896
323.000000	0.896
323.500000	0.896
324.000000	0.877
324.500000	0.877
325.000000	0.877
325.500000	0.877
326.000000	0.877
326.500000	0.877
327.000000	0.877
327.500000	0.877
328.000000	0.877
328.500000	0.877
329.000000	0.877
329.500000	0.877
330.000000	0.877
330.500000	0.877
331.000000	0.877
331.500000	0.8584
332.000000	0.8584
332.500000	0.8584
333.000000	0.8584
333.500000	0.8584
334.000000	0.8584
334.500000	0.8584
335.000000	0.8584
335.500000	0.8584
336.000000	0.8584
336.500000	0.8584
337.000000	0.8584
337.500000	0.8584
338.000000	0.8584
338.500000	0.8584
339.000000	0.8401
339.500000	0.8401
340.000000	0.8401
340.500000	0.8401
341.000000	0.8401
341.500000	0.8401
342.000000	0.8401
342.500000	0.8401
343.000000	0.8401
343.500000	0.8401
344.000000	0.8401
344.500000	0.8401
345.000000	0.8401
345.500000	0.8401
346.000000	0.8401
346.500000	0.8401
347.000000	0.822
347.500000	0.822
348.000000	0.822
348.500000	0.822
349.000000	0.822
349.500000	0.822
350.000000	0.822
350.500000	0.8147
351.000000	0.8147
351.500000	0.8147
352.000000	0.8147
352.500000	0.8147
353.000000	0.8147
353.500000	0.8147
354.000000	0.8147
354.500000	0.8147
355.000000	0.8041
355.500000	0.8037
356.000000	0.8037
356.500000	0.8037
357.000000	0.8037
357.500000	0.8037
358.000000	0.8037
358.500000	0.8037
359.000000	0.8037
359.500000	0.8037
360.000000	0.8037
360.500000	0.8037
361.000000	0.8037
361.500000	0.8037
362.000000	0.8037
362.500000	0.8037
363.000000	0.8037
363.500000	0.7863
364.000000	0.7854
364.500000	0.7854
365.000000	0.7854
365.500000	0.7854
366.000000	0.7854
366.500000	0.7854
367.000000	0.7854
367.500000	0.7854
368.000000	0.7854
368.500000	0.7854
369.000000	0.7854
369.500000	0.7854
370.000000	0.7854
370.500000	0.7854
371.000000	0.7854
371.500000	0.7854
372.000000	0.7686
372.500000	0.7686
373.000000	0.7686
373.500000	0.7686
374.000000	0.7686
374.500000	0.7686
375.000000	0.7686
375.500000	0.7686
376.000000	0.7686
376.500000	0.7686
377.000000	0.7686
377.500000	0.7686
378.000000	0.7686
378.500000	0.7686
379.000000	0.7686
379.500000	0.7686
380.000000	0.7686
380.500000	0.7511
381.000000	0.7511
381.500000	0.7511
382.000000	0.7511
382.500000	0.7511
383.000000	0.7511
383.500000	0.7511
384.000000	0.7511
384.500000	0.7511
385.000000	0.7511
385.500000	0.7511
386.000000	0.7511
386.500000	0.7511
387.000000	0.7511
387.500000	0.7511
388.000000	0.7511
388.500000	0.7511
389.000000	0.7511
389.500000	0.7338
390.000000	0.7338
390.500000	0.7338
391.000000	0.7338
391.500000	0.7338
392.000000	0.7338
392.500000	0.7338
393.000000	0.7338
393.500000	0.7338
394.000000	0.7338
394.500000	0.7338
395.000000	0.7338
395.500000	0.7338
396.000000	0.7338
396.500000	0.7338
397.000000	0.7338
