# Wavelength	Spectral Flux Density
# (nm)		(W/m^2/nm)
280.000000	0.0
280.500000	0.0
281.000000	0.0
281.500000	0.0
282.000000	0.0
282.500000	0.0
283.000000	0.0
283.500000	0.0
284.000000	0.0
284.500000	0.0
285.000000	3.1341e-17
285.500000	2.5547e-16
286.000000	9.4865e-16
286.500000	7.4169e-15
287.000000	2.9107e-14
287.500000	1.4693e-13
288.000000	1.1259e-12
288.500000	3.7083e-12
289.000000	1.4309e-11
289.500000	6.2866e-11
290.000000	2.1048e-10
290.500000	5.4419e-10
291.000000	1.594e-09
291.500000	5.9009e-09
292.000000	1.6686e-08
292.500000	2.8804e-08
293.000000	6.447e-08
293.500000	1.9265e-07
294.000000	3.8681e-07
294.500000	6.5308e-07
295.000000	1.3191e-06
295.500000	3.338e-06
296.000000	6.1332e-06
296.500000	9.702e-06
297.000000	1.3812e-05
297.500000	2.8264e-05
298.000000	4.6308e-05
298.500000	5.9389e-05
299.000000	8.458e-05
299.500000	0.00015559
300.000000	0.00018991
300.500000	0.00023808
301.000000	0.00038258
301.500000	0.0005494
302.000000	0.000616
302.500000	0.00092632
303.000000	0.0015783
303.500000	0.0020312
304.000000	0.0021551
304.500000	0.0027344
305.000000	0.003777
305.500000	0.0043065
306.000000	0.0042913
306.500000	0.0048908
307.000000	0.0064458
307.500000	0.0082308
308.000000	0.0087741
308.500000	0.0096184
309.000000	0.0094273
309.500000	0.010189
310.000000	0.011977
310.500000	0.015443
311.000000	0.019537
311.500000	0.019866
312.000000	0.021907
312.500000	0.023141
313.000000	0.025103
313.500000	0.025394
314.000000	0.028091
314.500000	0.030333
315.000000	0.031715
315.500000	0.027905
316.000000	0.028875
316.500000	0.03554
317.000000	0.040755
317.500000	0.043687
318.000000	0.041979
318.500000	0.043835
319.000000	0.048067
319.500000	0.046849
320.000000	0.049408
320.500000	0.058293
321.000000	0.05877
321.500000	0.056155
322.000000	0.053451
322.500000	0.052444
323.000000	0.050924
323.500000	0.058678
324.000000	0.066219
324.500000	0.068961
325.000000	0.069126
325.500000	0.07997
326.000000	0.093042
326.500000	0.098812
327.000000	0.097349
327.500000	0.094902
328.000000	0.08816
328.500000	0.092182
329.000000	0.10387
329.500000	0.11532
330.000000	0.11678
330.500000	0.10747
331.000000	0.10181
331.500000	0.1072
332.000000	0.11116
332.500000	0.11183
333.000000	0.11005
333.500000	0.10552
334.000000	0.10805
334.500000	0.11536
335.000000	0.12009
335.500000	0.11745
336.000000	0.10801
336.500000	0.10023
337.000000	0.098728
337.500000	0.10629
338.000000	0.11485
338.500000	0.12042
339.000000	0.12499
339.500000	0.12845
340.000000	0.13681
340.500000	0.13688
341.000000	0.12884
341.500000	0.12848
342.000000	0.13433
342.500000	0.13975
343.000000	0.14234
343.500000	0.1349
344.000000	0.11694
344.500000	0.11273
345.000000	0.12848
345.500000	0.13728
346.000000	0.13438
346.500000	0.13722
347.000000	0.1422
347.500000	0.13766
348.000000	0.13745
348.500000	0.14016
349.000000	0.13538
349.500000	0.1394
350.000000	0.15437
350.500000	0.16749
351.000000	0.16339
351.500000	0.15766
352.000000	0.15428
352.500000	0.14616
353.000000	0.15571
353.500000	0.17165
354.000000	0.1819
354.500000	0.18436
355.000000	0.18663
355.500000	0.18068
356.000000	0.16994
356.500000	0.15977
357.000000	0.14084
357.500000	0.14286
358.000000	0.13326
358.500000	0.12401
359.000000	0.1462
359.500000	0.17655
360.000000	0.18718
360.500000	0.17729
361.000000	0.16351
361.500000	0.1605
362.000000	0.16862
362.500000	0.1851
363.000000	0.19082
363.500000	0.18901
364.000000	0.19633
364.500000	0.19491
365.000000	0.20282
365.500000	0.22368
366.000000	0.24017
366.500000	0.24107
367.000000	0.23707
367.500000	0.23305
368.000000	0.21985
368.500000	0.21881
369.000000	0.22919
369.500000	0.24671
370.000000	0.25064
370.500000	0.22702
371.000000	0.23105
371.500000	0.24055
372.000000	0.22912
372.500000	0.21869
373.000000	0.21103
373.500000	0.19058
374.000000	0.19042
374.500000	0.18936
375.000000	0.20243
375.500000	0.22424
376.000000	0.23263
376.500000	0.22928
377.000000	0.24641
377.500000	0.27536
378.000000	0.29715
378.500000	0.29015
379.000000	0.25923
379.500000	0.23281
380.000000	0.24511
380.500000	0.26734
381.000000	0.27249
381.500000	0.24601
382.000000	0.21008
382.500000	0.18205
383.000000	0.16346
383.500000	0.15851
384.000000	0.18369
384.500000	0.2215
385.000000	0.24352
385.500000	0.23306
386.000000	0.22523
386.500000	0.23456
387.000000	0.23704
387.500000	0.23397
388.000000	0.23207
388.500000	0.23079
389.000000	0.25095
389.500000	0.28304
390.000000	0.29738
390.500000	0.30034
391.000000	0.31863
391.500000	0.32363
392.000000	0.2984
392.500000	0.24908
393.000000	0.18061
393.500000	0.14383
394.000000	0.18711
394.500000	0.25849
395.000000	0.30572
395.500000	0.3261
396.000000	0.28714
396.500000	0.20909
397.000000	0.16219
397.500000	0.23987
398.000000	0.3253
398.500000	0.39088
399.000000	0.41562
399.500000	0.42892
400.000000	0.43413
401.000000	0.45327
402.000000	0.47237
403.000000	0.45596
404.000000	0.46442
405.000000	0.45408
406.000000	0.4439
407.000000	0.43701
408.000000	0.46469
409.000000	0.4974
410.000000	0.4249
411.000000	0.47879
412.000000	0.50999
413.000000	0.49029
414.000000	0.48598
415.000000	0.5041
416.000000	0.52024
417.000000	0.51423
418.000000	0.49289
419.000000	0.51403
420.000000	0.47196
421.000000	0.53706
422.000000	0.53081
423.000000	0.51498
424.000000	0.51311
425.000000	0.52981
426.000000	0.5157
427.000000	0.507
428.000000	0.51282
429.000000	0.47565
430.000000	0.38009
431.000000	0.34565
432.000000	0.57599
433.000000	0.5368
434.000000	0.49671
435.000000	0.54574
436.000000	0.59945
437.000000	0.62234
438.000000	0.54697
439.000000	0.52707
440.000000	0.60511
441.000000	0.60144
442.000000	0.64469
443.000000	0.65483
444.000000	0.63899
445.000000	0.66419
446.000000	0.59629
447.000000	0.68521
448.000000	0.69443
449.000000	0.69371
450.000000	0.72009
451.000000	0.74777
452.000000	0.7168
453.000000	0.66268
454.000000	0.71165
455.000000	0.70746
456.000000	0.73167
457.000000	0.73865
458.000000	0.73501
459.000000	0.73007
460.000000	0.72621
461.000000	0.75256
462.000000	0.76034
463.000000	0.76374
464.000000	0.7412
465.000000	0.73269
466.000000	0.74887
467.000000	0.71628
468.000000	0.75971
469.000000	0.76454
470.000000	0.73579
471.000000	0.75043
472.000000	0.7901
473.000000	0.7602
474.000000	0.76945
475.000000	0.79554
476.000000	0.76916
477.000000	0.77454
478.000000	0.8004
479.000000	0.7953
480.000000	0.80929
481.000000	0.80994
482.000000	0.81362
483.000000	0.80443
484.000000	0.7898
485.000000	0.78775
486.000000	0.63912
487.000000	0.72351
488.000000	0.78365
489.000000	0.73871
490.000000	0.83011
491.000000	0.79843
492.000000	0.76176
493.000000	0.81531
494.000000	0.79647
495.000000	0.84615
496.000000	0.80515
497.000000	0.81941
498.000000	0.7976
499.000000	0.79807
500.000000	0.79582
501.000000	0.77199
502.000000	0.78365
503.000000	0.82021
504.000000	0.76501
505.000000	0.82027
506.000000	0.85375
507.000000	0.81725
508.000000	0.79686
509.000000	0.83547
