# Wavelength	Spectral Flux Density
# (nm)		(W/m^2/nm)
280.000000	0.082
280.500000	0.099
281.000000	0.15
281.500000	0.212
282.000000	0.267
282.500000	0.303
283.000000	0.325
283.500000	0.323
284.000000	0.299
284.500000	0.25024
285.000000	0.17589
285.500000	0.155
286.000000	0.242
286.500000	0.333
287.000000	0.362
287.500000	0.339
288.000000	0.311
288.500000	0.325
289.000000	0.392
289.500000	0.479
290.000000	0.563
290.500000	0.606
291.000000	0.618
291.500000	0.598
292.000000	0.567
292.500000	0.529
293.000000	0.538
293.500000	0.549
294.000000	0.533
294.500000	0.52
295.000000	0.527
295.500000	0.559
296.000000	0.573
296.500000	0.521
297.000000	0.478
297.500000	0.529
298.000000	0.528
298.500000	0.468
299.000000	0.472
299.500000	0.501
300.000000	0.45794
300.500000	0.433
301.000000	0.463
301.500000	0.47756
302.000000	0.449
302.500000	0.508
303.000000	0.612
303.500000	0.646
304.000000	0.621
304.500000	0.626
305.000000	0.642
305.500000	0.611
306.000000	0.565
306.500000	0.575
307.000000	0.605
307.500000	0.631
308.000000	0.645
308.500000	0.6405
309.000000	0.58
309.500000	0.5
310.000000	0.533
310.500000	0.652
311.000000	0.762
311.500000	0.744
312.000000	0.70615
312.500000	0.676
313.000000	0.694
313.500000	0.724
314.000000	0.717
314.500000	0.676
315.000000	0.6845
315.500000	0.632
316.000000	0.587
316.500000	0.649
317.000000	0.739
317.500000	0.80189
318.000000	0.72361
318.500000	0.68
319.000000	0.7058
319.500000	0.73318
320.000000	0.775
320.500000	0.826
321.000000	0.76546
321.500000	0.719
322.000000	0.73513
322.500000	0.71152
323.000000	0.649
323.500000	0.68138
324.000000	0.7405
324.500000	0.788
325.000000	0.82918
325.500000	0.91377
326.000000	0.99835
326.500000	1.0166
327.000000	1.0047
327.500000	0.98679
328.000000	0.95681
328.500000	0.934
329.000000	1.0046
329.500000	1.0958
330.000000	1.1098
330.500000	1.0429
331.000000	0.991
331.500000	0.99396
332.000000	0.99277
332.500000	0.98003
333.000000	0.96394
333.500000	0.937
334.000000	0.95557
334.500000	0.98862
335.000000	1.0097
335.500000	0.97453
336.000000	0.88979
336.500000	0.829
337.000000	0.818
337.500000	0.87732
338.000000	0.92529
338.500000	0.95783
339.000000	0.96863
339.500000	0.989
340.000000	1.0544
340.500000	1.0463
341.000000	0.971
341.500000	0.959
342.000000	0.9957
342.500000	1.0277
343.000000	1.0417
343.500000	0.98301
344.000000	0.85416
344.500000	0.813
345.000000	0.91583
345.500000	0.97021
346.000000	0.94269
346.500000	0.95594
347.000000	0.96954
347.500000	0.93318
348.000000	0.92472
348.500000	0.93721
349.000000	0.899
349.500000	0.91969
350.000000	1.0122
350.500000	1.0849
351.000000	1.0534
351.500000	1.0129
352.000000	0.98383
352.500000	0.926
353.000000	0.98012
353.500000	1.0752
354.000000	1.1346
354.500000	1.144
355.000000	1.1406
355.500000	1.0964
356.000000	1.025
356.500000	0.95914
357.000000	0.842
357.500000	0.85015
358.000000	0.78916
358.500000	0.731
359.000000	0.85805
359.500000	1.0321
360.000000	1.089
360.500000	1.0265
361.000000	0.9415
361.500000	0.918
362.000000	0.958
362.500000	1.045
363.000000	1.071
363.500000	1.038
364.000000	1.0716
364.500000	1.059
365.000000	1.097
365.500000	1.2041
366.000000	1.286
366.500000	1.2843
367.000000	1.2577
367.500000	1.2317
368.000000	1.157
368.500000	1.1459
369.000000	1.1944
369.500000	1.2795
370.000000	1.2934
370.500000	1.166
371.000000	1.1811
371.500000	1.2249
372.000000	1.1444
372.500000	1.0876
373.000000	1.0445
373.500000	0.939
374.000000	0.93442
374.500000	0.925
375.000000	0.985
375.500000	1.0874
376.000000	1.124
376.500000	1.104
377.000000	1.1813
377.500000	1.3149
378.000000	1.4144
378.500000	1.3765
379.000000	1.226
379.500000	1.098
380.000000	1.152
380.500000	1.231
381.000000	1.249
381.500000	1.1224
382.000000	0.95426
382.500000	0.82313
383.000000	0.73603
383.500000	0.71095
384.000000	0.821
384.500000	0.9862
385.000000	1.0802
385.500000	1.0296
386.000000	0.99113
386.500000	1.0279
387.000000	1.0354
387.500000	1.0186
388.000000	1.0067
388.500000	0.99743
389.000000	1.081
389.500000	1.1958
390.000000	1.2519
390.500000	1.2601
391.000000	1.3322
391.500000	1.349
392.000000	1.24
392.500000	1.0312
393.000000	0.745
393.500000	0.5912
394.000000	0.76675
394.500000	1.0557
395.000000	1.245
395.500000	1.3245
396.000000	1.1626
396.500000	0.8433
397.000000	0.652
397.500000	0.96142
398.000000	1.301
398.500000	1.5342
399.000000	1.6245
399.500000	1.6717
400.000000	1.6885
401.000000	1.752
402.000000	1.814
403.000000	1.74
404.000000	1.763
405.000000	1.715
406.000000	1.666
407.000000	1.63
408.000000	1.699
409.000000	1.809
410.000000	1.537
411.000000	1.715
412.000000	1.816
413.000000	1.7392
414.000000	1.7144
415.000000	1.7688
416.000000	1.815
417.000000	1.766
418.000000	1.685
419.000000	1.749
420.000000	1.599
421.000000	1.811
422.000000	1.782
423.000000	1.721
424.000000	1.708
425.000000	1.755
426.000000	1.699
427.000000	1.638
428.000000	1.651
429.000000	1.523
430.000000	1.212
431.000000	1.099
432.000000	1.822
433.000000	1.6913
434.000000	1.56
435.000000	1.709
436.000000	1.868
437.000000	1.9
438.000000	1.663
439.000000	1.601
440.000000	1.83
441.000000	1.799
442.000000	1.922
443.000000	1.949
444.000000	1.8941
445.000000	1.965
446.000000	1.7557
447.000000	1.99
448.000000	2.014
449.000000	2.001
450.000000	2.069
451.000000	2.142
452.000000	2.047
453.000000	1.8864
454.000000	2.018
455.000000	2.001
456.000000	2.063
457.000000	2.077
458.000000	2.032
459.000000	2.012
460.000000	1.9973
461.000000	2.0639
462.000000	2.078
463.000000	2.084
464.000000	2.015
465.000000	1.984
466.000000	2.021
467.000000	1.931
468.000000	2.012
469.000000	2.018
470.000000	1.939
471.000000	1.969
472.000000	2.07
473.000000	1.9882
474.000000	2.012
475.000000	2.08
476.000000	2.012
477.000000	2.025
478.000000	2.086
479.000000	2.04
480.000000	2.068
481.000000	2.061
482.000000	2.0623
483.000000	2.031
484.000000	1.989
485.000000	1.979
486.000000	1.601
487.000000	1.789
488.000000	1.935
489.000000	1.8224
490.000000	2.032
491.000000	1.949
492.000000	1.856
493.000000	1.983
494.000000	1.9339
495.000000	2.051
496.000000	1.949
497.000000	1.98
498.000000	1.924
499.000000	1.923
500.000000	1.916
501.000000	1.858
502.000000	1.86
503.000000	1.949
504.000000	1.833
505.000000	1.9472
506.000000	2.025
507.000000	1.9354
508.000000	1.88
509.000000	1.965
510.000000	1.91
511.000000	1.941
512.000000	1.989
513.000000	1.866
514.000000	1.824
515.000000	1.875
516.000000	1.891
517.000000	1.539
518.000000	1.759
519.000000	1.704
520.000000	1.86
521.000000	1.873
522.000000	1.915
523.000000	1.804
524.000000	1.941
525.000000	1.928
526.000000	1.874
527.000000	1.641
528.000000	1.88
529.000000	1.969
530.000000	1.892
531.000000	1.995
532.000000	1.958
533.000000	1.747
534.000000	1.869
535.000000	1.895
536.000000	1.974
537.000000	1.824
538.000000	1.913
539.000000	1.864
540.000000	1.8
541.000000	1.734
542.000000	1.888
543.000000	1.851
544.000000	1.919
545.000000	1.874
546.000000	1.8609
547.000000	1.882
548.000000	1.826
549.000000	1.88
550.000000	1.863
551.000000	1.859
552.000000	1.896
553.000000	1.842
554.000000	1.878
555.000000	1.889
556.000000	1.857
557.000000	1.812
558.000000	1.853
559.000000	1.755
560.000000	1.786
561.000000	1.89
562.000000	1.801
563.000000	1.871
564.000000	1.836
565.000000	1.849
566.000000	1.75
567.000000	1.868
568.000000	1.859
569.000000	1.831
570.000000	1.828
571.000000	1.762
572.000000	1.872
573.000000	1.881
574.000000	1.873
575.000000	1.834
576.000000	1.818
577.000000	1.862
578.000000	1.799
579.000000	1.816
580.000000	1.834
581.000000	1.833
582.000000	1.852
583.000000	1.863
584.000000	1.854
585.000000	1.836
586.000000	1.792
587.000000	1.838
588.000000	1.821
589.000000	1.624
590.000000	1.7218
591.000000	1.809
592.000000	1.788
593.000000	1.792
594.000000	1.789
595.000000	1.778
596.000000	1.796
597.000000	1.806
598.000000	1.772
599.000000	1.764
600.000000	1.77
601.000000	1.742
602.000000	1.715
603.000000	1.749
604.000000	1.779
605.000000	1.773
606.000000	1.758
607.000000	1.762
608.000000	1.751
609.000000	1.734
610.000000	1.724
611.000000	1.712
612.000000	1.736
613.000000	1.71
614.000000	1.655
615.000000	1.712
616.000000	1.664
617.000000	1.641
618.000000	1.702
619.000000	1.709
620.000000	1.711
621.000000	1.724
622.000000	1.6784
623.000000	1.682
624.000000	1.667
625.000000	1.644
626.000000	1.64
627.000000	1.693
628.000000	1.693
629.000000	1.687
630.000000	1.665
631.000000	1.659
632.000000	1.5901
633.000000	1.674
634.000000	1.637
635.000000	1.652
636.000000	1.6093
637.000000	1.661
638.000000	1.665
639.000000	1.653
640.000000	1.613
641.000000	1.61
642.000000	1.609
643.000000	1.625
644.000000	1.614
645.000000	1.627
646.000000	1.591
647.000000	1.606
648.000000	1.602
649.000000	1.551
650.000000	1.526
651.000000	1.613
652.000000	1.591
